Region	Item	Alternative	NatCondA	NatCondB	NatCondC	LearnCondA	LearnCondB	LearnCondC	1a	1b	1c	2a	2b	2c	3a	3b	3c	4a	4b	4c	5a	5b	5c	6a	6b	6c	9a	9b	9c	10a	10b	10c	11a	11b	11c	12a	12b	12c	13a	13b	13c	15a	15b	15c	16a	16b	16c	17a	17b	17c	18a	18b	18c	19a	19b	19c	20a	20b	20c	21a	21b	21c	23a	23b	23c
4	7	107	0.177425144	0.05432498	0.48299368	0.195123337	0.955798604	0.575553607	0.265500927		0.715196753	-0.019238862		0.515271035	0.286013368		0.218513253		0.011664997			0.096984962		0.202932744		0.321063247		0.012238442		0.400329231		1.671107002	0.038833479		0.372543619			0.929696092				-0.104238182		0.212885856	0.574492012		0.524490748		0.626371336				0.257268244	0.05839074		0.358700595			0.532227057		2.888713438			0.2958712	
5	7	107	0.354404054	0.309400028	0.149527682	0.419124536	0.242053878	-0.051424733	0.378509235		0.112640476	0.32332164		0.269600936	0.361381286		0.066341635		0.209621943			0.409178113		0.464762389		0.17622843		0.270519581		0.313745902		-0.325478539	0.533417535		0.084859527			0.157738426				0.401786829		-0.173971612	0.172367169		0.178634124		0.281332626				0.124195241	0.628667394		0.077063396			-0.762091595		0.367563863			0.048799444	
1	8	108	0.080220895	0.369805831	0.180753098	-0.231973526	-0.157586771	#DIV/0!								0.369805831		0.176739501			-0.016297711		0.180753098											0.21552748			0.023051382		0.298466464				-0.306733201			-0.246264222						-0.077574837						-0.553527228		-0.661873369			-0.332513673		
2	8	108	-0.041067637	-0.137779477	-0.348853491	-0.488341268	-0.482188212	#DIV/0!								-0.137779477		-0.151837996			0.069702721		-0.348853491											-0.165349953			-0.259381492		-0.117572929				-0.82451234			-0.371951192						-0.292924051						-0.979010247		-1.016977101			-0.330473775		
3	8	108	0.117669903	0.733100888	0.171164847	0.179231941	0.924481483	#DIV/0!								0.733100888		0.114685842			0.120653964		0.171164847											0.418574728			0.157781533		0.282878992				-0.372562827			1.913876937						-0.092698068						3.521916597		-0.065448129			0.320264961		
4	8	108	-0.189674279	-0.082805157	-0.161102915	-0.291819764	0.004253423	#DIV/0!								-0.082805157		-0.246289869			-0.133058689		-0.161102915											-0.31351558			-0.27383212		-0.217821467				1.103445905			-0.015540022						-0.393462034						-0.081575613		-0.047993441			-0.609644383		
5	8	108	-0.034806955	0.474455601	-0.052061442	0.918187375	0.488106266	#DIV/0!								0.474455601		-0.047946769			-0.021667142		-0.052061442											0.190969546			0.364612692		-0.001194805				0.038801213			1.648420801						-0.25995892						0.945792263		0.837184967			1.918571962		
1	9	109	0.188985901	0.329147755	0.088006811	-0.054290352	0.21452095	-0.110944437		0.571925069			0.33246745			0.083050746		0.275679635		0.309414433	0.102292167		-0.133400811		0.186568784				-0.05228996		-0.509095015			0.115481374			-0.043739492		-0.002071565		0.164705731		1.745229624			-0.246229104		0.495107816		0.260205977					0.253430476					-0.461124242		-0.628162792	-0.249073415		-0.29918114
2	9	109	-0.086600254	-0.096811345	-0.060144732	-0.295534896	-0.211702103	-0.247855686		-0.074572039			-0.024926136			-0.190935859		-0.014015192		0.020409829	-0.159185316		-0.140699293		-0.102017857				-0.042821528		-0.383245465			-0.019182865			-0.180358795		-0.083892546		-0.050537127		-0.42533228			-0.267312637		0.109693561		-0.056180174					-0.104464822					-0.751698145		-0.600099902	-0.456242454		-0.489639701
3	9	109	-0.14344405	-0.124234865	-0.044236053	-0.137995851	-0.056465544	0.084743314		0.079848099			-0.174707079			-0.277845615		-0.099139768		-0.066671687	-0.187748332		-0.021800418		-0.134828312				-0.141165782		-0.624312535			-0.109315159			-0.252734155		-0.134633036		-0.051253692		-0.412551612			1.36475526		0.246928463		-0.303572161					-0.226272294					-0.397325136		1.253363573	-0.266953694		-0.333655366
4	9	109	0.079726095	-0.011929276	-0.221522932	0.068113798	-0.241295065	-0.483815134		0.130956793			-0.053298864			-0.113445756		0.094719063		-0.306984056	0.064733127		-0.136061808		-0.080718373				-0.388419148		-0.652921809			0.072206725			-0.204869442		-0.001080183		-0.234675331		-0.337725849			-0.243076477		0.192152769		-0.509238723					-0.241960227					0.619802172		-0.548121843	-0.538419565		-0.738620626
5	9	109	0.073658256	-0.094894149	0.064929974	-0.244595015	-0.314342176	0.231923591		0.101975394			-0.128901853			-0.257755986		-0.062032746		-0.066450673	0.209349257		0.19631062		-0.154263963				0.06032107		-0.2271105			-0.090654513			-0.333956662		-0.151530352		-0.000857641		-0.652496706			-0.264328789		-0.050836754		0.113258386					-0.477584098					-0.396772931		-0.097631345	-0.379240024		1.084527486
1	10	110	-0.085751898	-0.412303394	-0.42127322	-0.456389286	-0.470497424	-0.655149992			-0.624775837	-0.040710261		-0.275327256	-0.130793535		-0.363716566		-0.223114735			-0.601492052		-0.13338255		-0.433714396		-0.450173532		-0.083976222		-1.422521264			-0.439855313	-0.264084635		-0.214010949		-0.252988478		-0.684509946		-1.034812339	-0.877303219		-0.760538617		-0.084482594		0.388348199		0.037929905	-0.503689683		-0.420002049	-1.492516229		-1.208824909		-1.60963372			0.044791206	
2	10	110	-0.417317333	-0.51036522	-0.140053195	-0.727080138	-0.617846687	-0.092464272			-0.170480108	-0.410150661		-0.069398793	-0.424484006		-0.180280683		-0.445036696			-0.575693744		-0.438278019		-0.0816515		-0.627697887		-0.878608665		-0.551575039			-0.127991918	-0.484105048		-0.004650358		-0.451800897		-0.935852513		-0.220609361	-0.431142157		-0.026126637		-0.733544798		-0.79429944		0.290651849	-0.74431881		0.275276708	-1.110036451		-0.385502191		-0.363016508			-0.913173346	
3	10	110	-0.000657514	0.18803906	-0.079857987	0.222763834	0.186754188	-0.111018788			-0.020042992	-0.071542177		-0.021004113	0.070227149		-0.198526856		0.211056124			0.165021995		0.252265112		-0.113967736		0.162145787		0.667106061		-0.569217801			-0.061272993	0.112139823		-0.021366449		0.165790817		-0.338016806		-0.020472104	0.274121222		-0.159696992		-0.02582697		0.924667935		0.323999524	0.008318647		-0.008379555	-0.118491325		-0.368794982		0.152279246			0.479382058	
4	10	110	-0.14287338	-0.101052457	-0.218894269	-0.302619938	-0.173384555	-0.440805177			-0.187863493	-0.061749161		-0.164373091	-0.223997599		-0.304446224		-0.040518247			-0.161586667		-0.120600116		-0.308723123		-0.129820002		-0.388939468		-0.693570146			-0.248793479	-0.111427066		-0.192625132		-0.000853021		-0.582184102		-0.522864623	-0.027673094		-0.55553921		-0.134957124		-0.092521848		-0.109364599	-0.088776396		-0.34005734	-1.008837418		-0.995708945		-0.433190127			-0.168102499	
5	10	110	-0.041294857	0.155277805	0.093106528	0.346945641	0.346617217	0.500461731			0.331469559	-0.135857449		-0.003114713	0.053267735		-0.049035263		0.060021447			0.250534163		0.28615417		0.004144879		0.166377662		0.394610291		0.081559476			-0.131415223	0.239987732		0.296018374		0.031822771		1.627445696		1.421707338	0.938488093		0.74289217		-0.223877819		0.456438334		0.358370733	-0.49730663		0.254974145	-0.670252562		1.475903683		1.774181201			-0.015417727	
