Participant	List	Ambiguity	PreIncongruent	IncongruentAmbiguous	Completed	Trial	Region	LengthofRegion	RT	Subject1	Group1	Level1	EITLevel1	EITScore1	Block1	PresentationOrder	FlankerCorrect	FlankerRT	ComprehensionCheckCorrect	TrimmingHigh	Trimming	NoZeroRTs	Sdev	mean	Max	Outliers	OutliersRemoved	OutliersRemoved	ComprehensionQuestionCalculator	SumCorrectby5	TotalAnswered	PercentCorrect	Length(x-axis)	RT(pre-lineoffit)	ResSlope	ResIntercept	ResExpected	Residual	JegerskiMcCormickStep1	JegerskiMcCormickStep2	JegerskiMcCormickStep3		
1	1	1	1	1	1	7	1	15	1.535608053	1	1	4	5	120	0	8	1	0.704903841	1	 	 	1.535608053	0.477062541	0.911577983	2.104234335	 	1.535608053	1.535608053	1	135	150	0.9	15	1.535608053	0.065635776	0.263141919	1.247678565	0.287929488	7	7	1	17	
1	1	1	1	1	1	7	2	4	0.500854969	1	1	4	5	120	0	8	1	0.704903841	1	 	 	0.500854969	0.477062541	0.911577983	2.104234335	 	0.500854969	0.500854969	1	135	150	0.9	4	0.500854969	0.065635776	0.263141919	0.525685025	-0.024830056	7	7	1	17	
1	1	1	1	1	1	7	3	15	1.303921938	1	1	4	5	120	0	8	1	0.704903841	1	 	 	1.303921938	0.477062541	0.911577983	2.104234335	 	1.303921938	1.303921938	1	135	150	0.9	15	1.303921938	0.065635776	0.263141919	1.247678565	0.056243373	7	7	1	17	
1	1	1	1	1	1	7	4	8	1.053729057	1	1	4	5	120	0	8	1	0.704903841	1	 	 	1.053729057	0.477062541	0.911577983	2.104234335	 	1.053729057	1.053729057	1	135	150	0.9	8	1.053729057	0.065635776	0.263141919	0.78822813	0.265500927	7	7	1	17	
1	1	1	1	1	1	7	5	5	0.969830036	1	1	4	5	120	0	8	1	0.704903841	1	 	 	0.969830036	0.477062541	0.911577983	2.104234335	 	0.969830036	0.969830036	1	135	150	0.9	5	0.969830036	0.065635776	0.263141919	0.591320801	0.378509235	7	7	1	17	
1	1	1	0	0	1	8	1	13	0.985038042	1	1	4	5	120	0	74	1	0.739562035	0	 	 	0.985038042	0.477062541	0.911577983	2.104234335	 	0.985038042	0.985038042	0	135	150	0.9	13	0.985038042	0.065635776	0.263141919	1.116407012	-0.13136897	8	8	1	17	
1	1	1	0	0	1	8	2	6	0.284162998	1	1	4	5	120	0	74	1	0.739562035	0	 	 	0.284162998	0.477062541	0.911577983	2.104234335	 	0.284162998	0.284162998	0	135	150	0.9	6	0.284162998	0.065635776	0.263141919	0.656956578	-0.372793579	8	8	1	17	
1	1	1	0	0	1	8	3	6	0.718971968	1	1	4	5	120	0	74	1	0.739562035	0	 	 	0.718971968	0.477062541	0.911577983	2.104234335	 	0.718971968	0.718971968	0	135	150	0.9	6	0.718971968	0.065635776	0.263141919	0.656956578	0.06201539	8	8	1	17	
1	1	1	0	0	1	8	4	7	0.423755169	1	1	4	5	120	0	74	1	0.739562035	0	 	 	0.423755169	0.477062541	0.911577983	2.104234335	 	0.423755169	0.423755169	0	135	150	0.9	7	0.423755169	0.065635776	0.263141919	0.722592354	-0.298837185	8	8	1	17	
1	1	1	0	0	1	8	5	9	1.263404846	1	1	4	5	120	0	74	1	0.739562035	0	 	 	1.263404846	0.477062541	0.911577983	2.104234335	 	1.263404846	1.263404846	0	135	150	0.9	9	1.263404846	0.065635776	0.263141919	0.853863907	0.409540939	8	8	1	17	
