MatchingSection,ColumnA,ColumnF,ColumnJ,ColumnSemicolon,Translation,CorrectAnswer,Training,TrainingFull,imagename,Counterbalance,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeatTrainingloop.thisRepN,repeatTrainingloop.thisTrialN,repeatTrainingloop.thisN,repeatTrainingloop.thisIndex,learningLoop.thisRepN,learningLoop.thisTrialN,learningLoop.thisN,learningLoop.thisIndex,repeatloop.thisRepN,repeatloop.thisTrialN,repeatloop.thisN,repeatloop.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,ContinueSpace.keys,ContinueSpace.rt,key_resp_3.keys,key_resp_3.rt,keyresponse4.keys,keyresponse4.corr,keyresponse4.rt,ContinueSpace2.keys,ContinueSpace2.rt,keyresponse.keys,keyresponse.corr,keyresponse.rt,key_resp_5.keys,key_resp_5.rt,participant,session,group,date,expName,frameRate,
adivinar?,pantalla,fallar,adivinar,horno,to guess,j,None,adivinar,adivinar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,2,2,11,,,,,,,,,,j,1,2.3424521559500135,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el horno?,horno,rendirse,cartera,rellenar,oven,a,None,el horno,horno,1,0,0,0,0,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,a,1,1.7782440410228446,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
resonar?,brillar,colocar,resonar,pastel,"to resound, to resonate",j,None,resonar,resonar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,4,4,14,,,,,,,,,,j,1,2.1981068999739364,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el pastel?,pastel,sonar,banda,aparcar,cake,a,None,el pastel,pastel,1,0,0,0,0,,,,,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,a,1,1.2081135949702002,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el lavaplatos?,lavaplatos,pastel,montar,mecánico,dishwasher,a,None,el lavaplatos,lavaplatos,1,0,0,0,0,,,,,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,a,1,1.1219063969911076,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
terminar?,adivinar,banda,pantalla,terminar,to finish,semicolon,None,terminar,terminar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,7,7,16,,,,,,,,,,semicolon,1,1.8394012299831957,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la banda?,resonar,lavaplatos,sonar,banda,"band, group",semicolon,None,banda,banda,1,0,0,0,0,,,,,,,,,0,0,0,0,0,8,8,20,,,,,,,,,,semicolon,1,1.4755790249910206,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
aparcar?,montar,aparcar,lavaplatos,rendirse,park,f,None,aparcar,aparcar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,9,9,8,,,,,,,,,,f,1,1.4828144750208594,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
montar?,sonar,cocinero,brillar,montar,to assemble,semicolon,None,montar,montar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,10,10,19,,,,,,,,,,semicolon,1,1.8910525499959476,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
fallar?,rellenar,resonar,fallar,buzón,to break down,j,None,fallar,fallar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,11,11,10,,,,,,,,,,j,1,2.1939457720145583,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el cocinero?,cocinero,enfriar,colocar,pantalla,cook,a,None,el cocinero,cocinero,1,0,0,0,0,,,,,,,,,0,0,0,0,0,12,12,2,,,,,,,,,,a,1,1.3255564700230025,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
rellenar?,terminar,rellenar,buzón,brillar,to fill,f,None,rellenar,rellenar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,13,13,5,,,,,,,,,,f,1,3.982356148015242,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
colocar?,enfriar,horno,aparcar,colocar,"to place, to hang",semicolon,None,colocar,colocar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,14,14,18,,,,,,,,,,semicolon,1,1.9442036660038866,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
rendirse?,mecánico,terminar,rendirse,cocinero,"to give up, to surrender",j,None,rendirse,rendirse,1,0,0,0,0,,,,,,,,,0,0,0,0,0,15,15,12,,,,,,,,,,j,1,1.2883480690070428,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
brillar?,banda,brillar,pastel,enfriar,shine,f,None,brillar,brillar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,16,16,9,,,,,,,,,,f,1,1.4258648509858176,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el mecánico?,colocar,mecánico,cocinero,adivinar,mechanic,f,None,el mecánico,mecánico,1,0,0,0,0,,,,,,,,,0,0,0,0,0,17,17,7,,,,,,,,,,f,1,1.5239104370120913,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el buzón?,buzón,adivinar,terminar,resonar,mailbox,a,None,el buzón,buzón,1,0,0,0,0,,,,,,,,,0,0,0,0,0,18,18,0,,,,,,,,,,a,1,1.519967048021499,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
enfriar?,aparcar,cartera,enfriar,lavaplatos,"to chill, to cool down",j,None,enfriar,enfriar,1,0,0,0,0,,,,,,,,,0,0,0,0,0,19,19,13,,,,,,,,,,j,1,1.2091243719914928,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la pantalla?,cartera,pantalla,horno,fallar,screen,f,None,la pantalla,pantalla,1,0,0,0,0,,,,,,,,,0,0,0,0,0,20,20,6,,,,,,,,,,f,1,1.4255293470341712,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.67402802297147,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la biblia?,biblia,vaciar,escalera,maleta,bible,a,None,la biblia,biblia,1,1,0,1,0,0,0,0,0,0,0,0,4,,,,,,,,,,,space,8.274496926052961,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el diamante?,diamante,copa,escenario,abrigo,diamond,a,None,el diamante,diamante,1,1,0,1,0,0,0,0,0,0,1,1,3,,,,,,,,,,,space,3.064157899993006,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
saltar la cuerda?,renunciar,saltarlacuerda,maratón,cuaderno,to jump rope,f,None,saltar la cuerda,saltarlacuerda,1,1,0,1,0,0,0,0,0,0,2,2,6,,,,,,,,,,,space,2.8242873619892634,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la escalera?,escalera,cuaderno,renunciar,planos,staircase,a,None,la escalera,escalera,1,1,0,1,0,0,0,0,0,0,3,3,0,,,,,,,,,,,space,2.27419382694643,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el cuaderno?,librero,sucio,cuaderno,jardinero,notebook,j,None,el cuaderno,cuaderno,1,1,0,1,0,0,0,0,0,0,4,4,11,,,,,,,,,,,space,5.704090871964581,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el fregadero?,abrigo,renunciar,fregadero,maratón,kitchen sink,j,None,el fregadero,fregadero,1,1,0,1,0,0,0,0,0,0,5,5,12,,,,,,,,,,,space,7.8421972210053355,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
la maleta?,escenario,maleta,vaciar,copa,suitcase,f,None,la maleta,maleta,1,1,0,1,0,0,0,0,0,0,6,6,9,,,,,,,,,,,space,1.8893006599973887,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
el librero?,aviso,librero,diamante,fregadero,shelf,f,None,el librero,librero,1,1,0,1,0,0,0,0,0,0,7,7,7,,,,,,,,,,,space,3.728603727009613,,,,,,,,,,,9,001,2,2018_Oct_04_1232,VocabTraining,59.36547368868117,
