MatchingSection,ColumnA,ColumnF,ColumnJ,ColumnSemicolon,Translation,CorrectAnswer,Training,TrainingFull,imagename,Counterbalance,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeatTrainingloop.thisRepN,repeatTrainingloop.thisTrialN,repeatTrainingloop.thisN,repeatTrainingloop.thisIndex,learningLoop.thisRepN,learningLoop.thisTrialN,learningLoop.thisN,learningLoop.thisIndex,repeatloop.thisRepN,repeatloop.thisTrialN,repeatloop.thisN,repeatloop.thisIndex,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,ContinueSpace.keys,ContinueSpace.rt,key_resp_3.keys,key_resp_3.rt,keyresponse4.keys,keyresponse4.corr,keyresponse4.rt,ContinueSpace2.keys,ContinueSpace2.rt,keyresponse.keys,keyresponse.corr,keyresponse.rt,session,participant,frameRate,expName,date,group,
el aviso?,copa,jardinero,abrigo,aviso,warning,semicolon,None,el aviso,aviso,1,0,0,0,0,0,0,0,0,0,11,11,18,,,,,,,,,,,space,0.0542769432068,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
la copa?,planos,carpeta,copa,biblia,wineglass,j,None,la copa,copa,1,0,0,0,0,0,0,0,0,0,12,12,14,,,,,,,,,,,space,0.101479053497,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
el porche?,maleta,monedas,porche,diamante,porch,j,None,el porche,porche,1,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,space,0.10130405426,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
vaciar?,cuaderno,escenario,planos,vaciar,to empty,semicolon,None,vaciar,vaciar,1,0,0,0,0,0,0,0,0,0,14,14,15,,,,,,,,,,,space,0.0856151580811,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
el fregadero?,abrigo,renunciar,fregadero,maratón,kitchen sink,j,None,el fregadero,fregadero,1,0,0,0,0,0,0,0,0,0,15,15,12,,,,,,,,,,,space,0.0705270767212,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
el abrigo?,carpeta,abrigo,biblia,porche,coat,f,None,el abrigo,abrigo,1,0,0,0,0,0,0,0,0,0,16,16,8,,,,,,,,,,,space,0.11757516861,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
el maratón?,maratón,porche,carpeta,librero,marathon,a,None,el maratón,maratón,1,0,0,0,0,0,0,0,0,0,17,17,2,,,,,,,,,,,space,0.104174137115,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
el jardinero?,jardinero,fregadero,aviso,saltarlacuerda,gardener,a,None,el jardinero,jardinero,1,0,0,0,0,0,0,0,0,0,18,18,1,,,,,,,,,,,space,0.104320049286,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
la carpeta?,vaciar,maratón,maleta,carpeta,folder,semicolon,None,la carpeta,carpeta,1,0,0,0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,space,0.137562990189,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
los planos?,sucio,planos,jardinero,monedas,"plans, blueprints",f,None,los planos,planos,1,0,0,0,0,0,0,0,0,0,20,20,5,,,,,,,,,,,space,0.104320049286,,,,,,,,,001,1,59.752176080917444,VocabTraining,2018_Jun_13_1239,1,
